PC,PQ,PR,TP,DQ,RP,BP,PD,MP,UM,EA,NO,CY,RH,LH,CC,DC,WC,LS,,
DL129SP,10,N,3,2,1,2,0,2,1,402056,513292,E92000001,E19000001,E18000001,,E06000047,E05009035,S,,DL129SP
DL131SP,10,N,1,1,1,0,0,1,0,391838,537763,E92000001,E19000001,E18000001,,E06000047,E05009088,S,,DL131SP
DL132SP,10,N,6,6,6,0,0,6,0,402188,536335,E92000001,E19000001,E18000001,,E06000047,E05009088,S,,DL132SP
DL146SP,10,N,2,2,1,1,0,2,0,421842,528472,E92000001,E19000001,E18000001,,E06000047,E05009080,S,,DL146SP
DL147SP,10,N,5,4,5,0,0,4,1,418606,529156,E92000001,E19000001,E18000001,,E06000047,E05009089,S,,DL147SP
DL148SP,10,N,24,24,24,0,0,24,0,422431,527882,E92000001,E19000001,E18000001,,E06000047,E05009080,S,DL148SP,
DL149SP,10,N,4,4,4,0,0,4,0,414563,524450,E92000001,E19000001,E18000001,,E06000047,E05009062,S,,DL149SP
DL150SP,10,N,2,2,1,1,0,2,0,420307,535973,E92000001,E19000001,E18000001,,E06000047,E05009090,S,,DL150SP
DL159SP,10,N,23,23,22,1,0,23,0,416204,537651,E92000001,E19000001,E18000001,,E06000047,E05009085,S,DL159SP,
DL166SP,10,N,18,18,18,0,0,18,0,426962,535074,E92000001,E19000001,E18000001,,E06000047,E05009087,S,DL166SP,
DL167SP,10,N,22,22,22,0,0,22,0,425328,533164,E92000001,E19000001,E18000001,,E06000047,E05009082,S,DL167SP,
DL2 1SP,10,N,2,2,2,0,0,2,0,434393,516996,E92000001,E19000001,E18000001,,E06000005,E05010429,S,,DL2 1SP
DL2 2SP,10,N,14,14,13,1,0,14,0,428415,509836,E92000001,E19000001,E18000003,E10000023,E07000166,E05012358,S,DL2 2SP,
DL2 3SP,10,N,1,1,1,0,0,1,0,421285,515104,E92000001,E19000001,E18000003,E10000023,E07000166,E05012358,S,,DL2 3SP
DL3 0SP,10,N,20,20,20,0,0,20,0,427518,516197,E92000001,E19000001,E18000001,,E06000005,E05010414,S,DL3 0SP,
DL3 6SP,10,N,1,1,0,1,0,1,0,428930,515586,E92000001,E19000001,E18000001,,E06000005,E05010424,L,,DL3 6SP
DL3 7SP,10,N,10,10,10,0,0,10,0,428322,514341,E92000001,E19000001,E18000001,,E06000005,E05010415,S,,DL3 7SP
DL3 8SP,10,N,19,19,19,0,0,19,0,426939,514616,E92000001,E19000001,E18000001,,E06000005,E05010420,S,DL3 8SP,
DL3 9SP,10,N,12,12,12,0,0,12,0,426617,516018,E92000001,E19000001,E18000001,,E06000005,E05010414,S,DL3 9SP,
DL5 4SP,10,N,7,7,7,0,0,7,0,428292,526385,E92000001,E19000001,E18000001,,E06000047,E05009032,S,,DL5 4SP
DL5 6SP,10,N,5,3,1,4,0,3,2,427286,523938,E92000001,E19000001,E18000001,,E06000047,E05009031,S,,DL5 6SP
DL6 1SP,10,N,53,53,53,0,0,53,0,437926,494150,E92000001,E19000001,E18000003,E10000023,E07000164,E05009681,S,DL6 1SP,
DL6 2SP,10,N,12,11,12,0,0,11,1,437013,498847,E92000001,E19000001,E18000003,E10000023,E07000164,E05009680,S,DL6 2SP,
DL6 3SP,10,N,21,21,20,1,0,21,0,439792,490466,E92000001,E19000001,E18000003,E10000023,E07000164,E05009673,S,DL6 3SP,
DL7 0SP,10,N,3,3,3,0,0,3,0,426288,494973,E92000001,E19000001,E18000003,E10000023,E07000164,E05009679,S,,DL7 0SP
DL7 7SP,10,N,1,1,0,1,0,1,0,436925,494915,E92000001,E19000001,E18000003,E10000023,E07000164,E05009680,S,,DL7 7SP
DL7 8SP,10,N,6,6,6,0,0,6,0,436230,492617,E92000001,E19000001,E18000003,E10000023,E07000164,E05009684,S,,DL7 8SP
DL7 9SP,10,N,3,3,3,0,0,3,0,429518,489113,E92000001,E19000001,E18000003,E10000023,E07000164,E05009674,S,,DL7 9SP
DL8 1SP,10,N,14,14,14,0,0,14,0,421454,489524,E92000001,E19000001,E18000003,E10000023,E07000166,E05012364,S,DL8 1SP,
DL8 2SP,10,N,1,1,1,0,0,1,0,424939,484052,E92000001,E19000001,E18000003,E10000023,E07000164,E05009687,S,,DL8 2SP
DL8 3SP,10,N,2,2,1,1,0,2,0,401587,488147,E92000001,E19000001,E18000003,E10000023,E07000166,E05012371,S,,DL8 3SP
DL8 4SP,10,N,6,6,6,0,0,6,0,414490,485899,E92000001,E19000001,E18000003,E10000023,E07000166,E05012366,S,,DL8 4SP
DL8 5SP,10,N,8,8,7,1,0,8,0,411229,490346,E92000001,E19000001,E18000003,E10000023,E07000166,E05012362,S,,DL8 5SP
DL9 3SP,10,N,12,12,12,0,0,12,0,417247,498676,E92000001,E19000001,E18000003,E10000023,E07000166,E05012361,S,DL9 3SP,
DL9 4SP,10,N,10,10,9,1,0,10,0,418857,496341,E92000001,E19000001,E18000003,E10000023,E07000166,E05012370,S,,DL9 4SP
DN1 3SP,10,N,18,18,18,0,0,18,0,457382,402680,E92000001,E19000001,E18000003,,E08000017,E05010747,S,DN1 3SP,
DN1 9SP,10,N,1,1,0,1,0,1,0,457592,402943,E92000001,E19000001,E18000003,,E08000017,E05010747,S,,DN1 9SP
DN104SP,10,N,5,5,5,0,0,5,0,473580,390843,E92000001,E19000001,E18000004,E10000024,E07000171,E05006386,S,,DN104SP
DN110SP,10,N,42,42,42,0,0,42,0,461243,398066,E92000001,E19000001,E18000003,,E08000017,E05010742,S,DN110SP,
DN118SP,10,N,7,5,1,6,0,5,2,462138,390951,E92000001,E19000001,E18000004,E10000024,E07000171,E05006387,S,,DN118SP
DN121SP,10,N,18,18,18,0,0,18,0,454350,399279,E92000001,E19000001,E18000003,,E08000017,E05010735,S,DN121SP,
DN140SP,10,N,9,9,9,0,0,9,0,453250,425335,E92000001,E19000001,E18000003,E10000023,E07000169,E05010054,S,,DN140SP
DN145SP,10,N,1,1,0,1,0,1,0,474100,423179,E92000001,E19000001,E18000003,,E06000011,E05001697,S,,DN145SP
DN146SP,10,N,42,42,42,0,0,42,0,474031,423677,E92000001,E19000001,E18000003,,E06000011,E05001697,S,DN146SP,
DN147SP,10,N,9,9,9,0,0,9,0,475246,428229,E92000001,E19000001,E18000003,,E06000011,E05001699,S,,DN147SP
DN148SP,10,N,1,1,1,0,0,1,0,469664,420408,E92000001,E19000001,E18000003,,E06000011,E05001706,S,,DN148SP
DN155SP,10,N,1,1,0,1,0,1,0,489107,410272,E92000001,E19000001,E18000003,,E06000013,E05001742,S,,DN155SP
DN156SP,10,N,16,16,16,0,0,16,0,489803,411683,E92000001,E19000001,E18000003,,E06000013,E05001744,S,DN156SP,
DN159SP,10,N,10,10,10,0,0,10,0,492119,418168,E92000001,E19000001,E18000003,,E06000013,E05001738,S,,DN159SP
DN161SP,10,N,30,30,30,0,0,30,0,489408,410638,E92000001,E19000001,E18000003,,E06000013,E05001741,S,DN161SP,
DN163SP,10,N,21,21,21,0,0,21,0,489580,406912,E92000001,E19000001,E18000003,,E06000013,E05001733,S,DN163SP,
DN171SP,10,N,3,3,2,1,0,3,0,487924,410527,E92000001,E19000001,E18000003,,E06000013,E05001742,S,,DN171SP
DN172SP,10,N,21,21,21,0,0,21,0,488227,407173,E92000001,E19000001,E18000003,,E06000013,E05001733,S,DN172SP,
DN173SP,10,N,14,14,14,0,0,14,0,489453,404593,E92000001,E19000001,E18000003,,E06000013,E05001743,S,DN173SP,
DN197SP,10,N,22,22,22,0,0,22,0,506725,420982,E92000001,E19000001,E18000003,,E06000013,E05001740,S,DN197SP,
DN2 5SP,10,N,27,27,27,0,0,27,0,459992,405031,E92000001,E19000001,E18000003,,E08000017,E05010748,S,DN2 5SP,
DN200SP,10,N,10,10,0,10,0,10,0,504476,413351,E92000001,E19000001,E18000003,,E06000013,E05001734,S,,DN200SP
DN208SP,10,N,19,19,19,0,0,19,0,502418,408843,E92000001,E19000001,E18000003,,E06000013,E05001734,S,DN208SP,
DN211SP,10,N,21,21,21,0,0,21,0,482745,389600,E92000001,E19000001,E18000004,E10000019,E07000142,E05009640,S,DN211SP,
DN213SP,10,N,13,13,13,0,0,13,0,488823,401277,E92000001,E19000001,E18000004,E10000019,E07000142,E05009650,S,DN213SP,
DN214SP,10,N,1,1,1,0,0,1,0,498341,396175,E92000001,E19000001,E18000004,E10000019,E07000142,E05009654,S,,DN214SP
DN226SP,10,N,13,13,13,0,0,13,0,470917,382278,E92000001,E19000001,E18000004,E10000024,E07000171,E05006383,S,DN226SP,
DN227SP,10,N,9,9,9,0,0,9,0,470161,382360,E92000001,E19000001,E18000004,E10000024,E07000171,E05006383,S,,DN227SP
DN3 1SP,10,N,20,20,20,0,0,20,0,461200,407858,E92000001,E19000001,E18000003,,E08000017,E05010734,S,DN3 1SP,
DN3 3SP,10,N,19,19,19,0,0,19,0,463347,404513,E92000001,E19000001,E18000003,,E08000017,E05010729,S,DN3 3SP,
DN319SP,10,N,1,1,0,1,0,1,0,527161,409342,E92000001,E19000001,E18000003,,E06000012,E05001725,S,,DN319SP
DN329SP,10,N,36,36,36,0,0,36,0,528370,408306,E92000001,E19000001,E18000003,,E06000012,E05001717,S,DN329SP,
DN333SP,10,N,21,21,21,0,0,21,0,525752,406697,E92000001,E19000001,E18000003,,E06000012,E05001721,S,DN333SP,
DN344SP,10,N,24,24,24,0,0,24,0,526359,408487,E92000001,E19000001,E18000003,,E06000012,E05001720,S,DN344SP,
DN350SP,10,N,18,18,18,0,0,18,0,530441,406338,E92000001,E19000001,E18000003,,E06000012,E05001716,S,DN350SP,
DN357SP,10,N,14,14,14,0,0,14,0,528851,409427,E92000001,E19000001,E18000003,,E06000012,E05001722,S,DN357SP,
DN364SP,10,N,9,9,8,1,0,9,0,529181,404869,E92000001,E19000001,E18000003,,E06000012,E05001718,S,,DN364SP
DN365SP,10,N,4,4,4,0,0,4,0,535933,399233,E92000001,E19000001,E18000004,E10000019,E07000137,E05009889,S,,DN365SP
DN370SP,10,N,1,1,0,1,0,1,0,521622,398954,E92000001,E19000001,E18000003,,E06000012,E05001726,S,,DN370SP
DN396SP,10,N,18,18,18,0,0,18,0,510570,414752,E92000001,E19000001,E18000003,,E06000013,E05001740,S,DN396SP,
DN4 0SP,10,N,55,55,55,0,0,55,0,455854,401402,E92000001,E19000001,E18000003,,E08000017,E05010738,S,DN4 0SP,
DN4 6SP,10,N,3,3,3,0,0,3,0,461531,400840,E92000001,E19000001,E18000003,,E08000017,E05010736,S,,DN4 6SP
DN417SP,10,N,8,8,8,0,0,8,0,521926,410716,E92000001,E19000001,E18000003,,E06000012,E05001726,S,,DN417SP
DN5 7SP,10,N,4,4,4,0,0,4,0,451559,400478,E92000001,E19000001,E18000003,,E08000017,E05010743,S,,DN5 7SP
DN5 8SP,10,N,5,5,5,0,0,5,0,454850,405186,E92000001,E19000001,E18000003,,E08000017,E05010741,S,,DN5 8SP
DN5 9SP,10,N,13,13,13,0,0,13,0,457013,404463,E92000001,E19000001,E18000003,,E08000017,E05010731,S,DN5 9SP,
DN551SP,10,N,1,1,0,1,0,1,0,458074,402160,E92000001,E19000001,E18000003,,E08000017,E05010738,L,,DN551SP
DN6 7SP,10,N,8,8,8,0,0,8,0,453304,407658,E92000001,E19000001,E18000003,,E08000017,E05010728,S,,DN6 7SP
DN6 8SP,10,N,12,12,12,0,0,12,0,454047,409988,E92000001,E19000001,E18000003,,E08000017,E05010728,S,DN6 8SP,
DN7 5SP,10,N,1,1,1,0,0,1,0,461650,411533,E92000001,E19000001,E18000003,,E08000017,E05010744,S,,DN7 5SP
DN7 6SP,10,N,21,21,21,0,0,21,0,465839,409543,E92000001,E19000001,E18000003,,E08000017,E05010737,S,DN7 6SP,
DN8 4SP,10,N,18,18,17,1,0,18,0,469261,415169,E92000001,E19000001,E18000003,,E08000017,E05010745,S,DN8 4SP,
DN8 5SP,10,N,10,10,10,0,0,10,0,474703,412177,E92000001,E19000001,E18000003,,E06000013,E05001730,S,,DN8 5SP
DN9 1SP,10,N,5,5,5,0,0,5,0,478620,403915,E92000001,E19000001,E18000003,,E06000013,E05001729,S,,DN9 1SP
DT1 1SP,10,N,28,28,28,0,0,28,0,368790,90898,E92000001,E19000002,E18000010,,E06000059,E05012698,S,DT1 1SP,
DT1 2SP,10,N,39,39,39,0,0,39,0,369857,89738,E92000001,E19000002,E18000010,,E06000059,E05012696,S,DT1 2SP,
DT1 3SP,10,N,25,25,25,0,0,25,0,367189,90436,E92000001,E19000002,E18000010,,E06000059,E05012697,S,DT1 3SP,
DT1 9SP,10,N,1,1,0,1,0,1,0,369117,90737,E92000001,E19000002,E18000010,,E06000059,E05012698,S,,DT1 9SP
DT110SP,10,N,30,29,29,1,0,29,1,382428,111307,E92000001,E19000002,E18000010,,E06000059,E05012684,S,DT110SP,
DT117SP,10,N,2,2,2,0,0,2,0,389733,107831,E92000001,E19000002,E18000010,,E06000059,E05012703,S,,DT117SP
DT2 7SP,10,N,5,4,5,0,0,4,1,373485,95176,E92000001,E19000002,E18000010,,E06000059,E05012710,S,,DT2 7SP
DT2 8SP,10,N,3,2,2,1,0,2,1,376663,93368,E92000001,E19000002,E18000010,,E06000059,E05012710,S,,DT2 8SP
DT2 9SP,10,N,2,2,1,1,0,2,0,368478,95404,E92000001,E19000002,E18000010,,E06000059,E05012688,S,,DT2 9SP
DT3 6SP,10,N,25,25,25,0,0,25,0,369771,82736,E92000001,E19000002,E18000010,,E06000059,E05012704,S,DT3 6SP,
DT4 0SP,10,N,40,40,40,0,0,40,0,365908,79060,E92000001,E19000002,E18000010,,E06000059,E05012729,S,DT4 0SP,
DT4 8SP,10,N,50,50,50,0,0,50,0,368057,78272,E92000001,E19000002,E18000010,,E06000059,E05012712,S,DT4 8SP,
DT4 9SP,10,N,19,19,19,0,0,19,0,366648,80608,E92000001,E19000002,E18000010,,E06000059,E05012711,S,DT4 9SP,
DT6 3SP,10,N,9,9,9,0,0,9,0,351822,95572,E92000001,E19000002,E18000010,,E06000059,E05012699,S,,DT6 3SP
DT6 4SP,10,N,9,9,9,0,0,9,0,346795,90967,E92000001,E19000002,E18000010,,E06000059,E05012686,S,,DT6 4SP
DT7 3SP,10,N,4,4,3,1,0,4,0,331408,92283,E92000001,E19000002,E18000010,E10000008,E07000040,E05011807,S,,DT7 3SP
DT8 3SP,10,N,33,33,33,0,0,33,0,347711,101641,E92000001,E19000002,E18000010,,E06000059,E05012683,S,DT8 3SP,
DT9 4SP,10,N,7,7,7,0,0,7,0,359492,118575,E92000001,E19000002,E18000010,,E06000059,E05012716,S,,DT9 4SP
DT9 6SP,10,N,4,4,4,0,0,4,0,358780,114309,E92000001,E19000002,E18000010,,E06000059,E05012716,S,,DT9 6SP
DY1 1SP,10,N,14,14,14,0,0,14,0,393954,290106,E92000001,E19000001,E18000005,,E08000027,E05001254,S,DY1 1SP,
DY1 2SP,10,N,15,15,15,0,0,15,0,392661,290646,E92000001,E19000001,E18000005,,E08000027,E05001254,S,DY1 2SP,
DY1 3SP,10,N,16,16,16,0,0,16,0,393183,292657,E92000001,E19000001,E18000005,,E08000027,E05001257,S,DY1 3SP,
DY1 4SP,10,N,29,29,29,0,0,29,0,395122,291306,E92000001,E19000001,E18000005,,E08000027,E05001240,S,DY1 4SP,
DY1 9SP,10,N,1,1,0,1,0,1,0,394374,290475,E92000001,E19000001,E18000005,,E08000027,E05001254,S,,DY1 9SP
DY101SP,10,N,66,66,64,2,0,66,0,383958,276756,E92000001,E19000001,E18000005,E10000034,E07000239,E05010511,S,DY101SP,
DY102SP,10,N,3,3,3,0,0,3,0,384900,277227,E92000001,E19000001,E18000005,E10000034,E07000239,E05010511,S,,DY102SP
DY104SP,10,N,11,11,11,0,0,11,0,389167,273664,E92000001,E19000001,E18000005,E10000034,E07000239,E05010513,S,,DY104SP
DY115SP,10,N,3,3,3,0,0,3,0,381703,280757,E92000001,E19000001,E18000005,E10000034,E07000239,E05010513,S,,DY115SP
DY116SP,10,N,29,29,29,0,0,29,0,382405,276296,E92000001,E19000001,E18000005,E10000034,E07000239,E05010505,S,DY116SP,
DY119SP,10,N,1,1,0,1,0,1,0,381735,273589,E92000001,E19000001,E18000005,E10000034,E07000239,E05010510,L,,DY119SP
DY121SP,10,N,2,2,2,0,0,2,0,376706,282281,E92000001,E19000001,E18000005,E10000034,E07000239,E05010512,S,,DY121SP
DY138SP,10,N,11,11,11,0,0,11,0,380465,271726,E92000001,E19000001,E18000005,E10000034,E07000239,E05010503,S,,DY138SP
DY139SP,10,N,1,1,1,0,0,1,0,384472,266521,E92000001,E19000001,E18000005,E10000034,E07000238,E05007921,S,,DY139SP
DY149SP,10,N,1,1,1,0,0,1,0,375819,270460,E92000001,E19000001,E18000005,E10000034,E07000239,E05010504,S,,DY149SP
DY2 0SP,10,N,31,31,30,1,0,31,0,392951,288730,E92000001,E19000001,E18000005,,E08000027,E05001250,S,DY2 0SP,
DY2 8SP,10,N,12,12,12,0,0,12,0,394610,289380,E92000001,E19000001,E18000005,,E08000027,E05001255,S,DY2 8SP,
DY2 9SP,10,N,32,32,32,0,0,32,0,394550,286654,E92000001,E19000001,E18000005,,E08000027,E05001253,S,DY2 9SP,
DY3 1SP,10,N,13,13,13,0,0,13,0,391958,293416,E92000001,E19000001,E18000005,,E08000027,E05001256,S,DY3 1SP,
DY3 3SP,10,N,30,30,30,0,0,30,0,391608,293894,E92000001,E19000001,E18000005,,E08000027,E05001256,S,DY3 3SP,
DY4 0SP,10,N,6,6,6,0,0,6,0,396511,293594,E92000001,E19000001,E18000005,,E08000028,E05001274,S,,DY4 0SP
DY4 7SP,10,N,16,16,15,1,0,16,0,396137,290817,E92000001,E19000001,E18000005,,E08000028,E05001273,S,DY4 7SP,
DY4 8SP,10,N,18,18,18,0,0,18,0,396097,292086,E92000001,E19000001,E18000005,,E08000028,E05001279,S,DY4 8SP,
DY4 9SP,10,N,33,33,33,0,0,33,0,394953,292683,E92000001,E19000001,E18000005,,E08000028,E05001279,S,DY4 9SP,
DY5 1SP,10,N,47,47,6,41,0,47,0,392568,287048,E92000001,E19000001,E18000005,,E08000027,E05001238,S,,DY5 1SP
DY5 2SP,10,N,20,20,20,0,0,20,0,391758,285912,E92000001,E19000001,E18000005,,E08000027,E05001236,S,DY5 2SP,
DY5 3SP,10,N,48,48,46,2,0,48,0,391411,287066,E92000001,E19000001,E18000005,,E08000027,E05001238,S,DY5 3SP,
DY6 8SP,10,N,35,35,35,0,0,35,0,390211,288631,E92000001,E19000001,E18000005,,E08000027,E05001248,S,DY6 8SP,
DY6 9SP,10,N,16,16,16,0,0,16,0,388063,287651,E92000001,E19000001,E18000005,,E08000027,E05001248,S,DY6 9SP,
DY7 6SP,10,N,6,6,6,0,0,6,0,388410,285512,E92000001,E19000001,E18000005,E10000028,E07000196,E05007000,S,,DY7 6SP
DY8 1SP,10,N,1,1,0,1,0,1,0,390126,284120,E92000001,E19000001,E18000005,,E08000027,E05001258,S,,DY8 1SP
DY8 4SP,10,N,8,8,7,1,0,8,0,389129,285449,E92000001,E19000001,E18000005,,E08000027,E05001258,S,,DY8 4SP
DY8 5SP,10,N,27,27,25,2,0,27,0,389915,286873,E92000001,E19000001,E18000005,,E08000027,E05001259,S,DY8 5SP,
DY9 0SP,10,N,7,7,7,0,0,7,0,391260,282203,E92000001,E19000001,E18000005,,E08000027,E05001252,S,,DY9 0SP
DY9 9SP,10,N,5,5,4,1,0,5,0,391795,277757,E92000001,E19000001,E18000005,E10000034,E07000234,E05009828,S,,DY9 9SP
EC1N7SP,10,N,34,34,34,0,0,34,0,531173,181989,E92000001,E19000003,E18000007,,E09000007,E05000138,S,EC1N7SP,
EC1R4SP,10,N,18,17,8,10,0,17,1,531114,182228,E92000001,E19000003,E18000007,,E09000019,E05000370,S,,EC1R4SP
EC1V3SP,10,N,5,5,5,0,0,5,0,532479,182615,E92000001,E19000003,E18000007,,E09000019,E05000367,S,,EC1V3SP
EC1Y0SP,10,N,19,19,19,0,0,19,0,532069,182193,E92000001,E19000003,E18000007,,E09000019,E05000367,S,EC1Y0SP,
EC1Y1SP,10,N,1,1,0,1,0,1,0,532798,182341,E92000001,E19000003,E18000007,,E09000019,E05000367,L,,EC1Y1SP
EC2A3SP,10,N,1,1,0,1,0,1,0,533197,182491,E92000001,E19000003,E18000007,,E09000012,E05009377,L,,EC2A3SP
EC2P2SP,10,Y,1,1,0,0,1,1,0,531073,182317,E92000001,E19000003,E18000007,,E09000019,E05000370,L,,EC2P2SP
EC4N1SP,10,N,10,10,0,10,0,10,0,532457,181098,E92000001,E19000003,E18000007,,E09000001,E05009300,S,,EC4N1SP
EC4R2SP,10,N,1,1,0,1,0,1,0,532537,180865,E92000001,E19000003,E18000007,,E09000001,E05009303,L,,EC4R2SP
EH1 1SP,10,N,11,11,10,1,0,11,0,326030,673703,S92000003,,S08000024,,S12000036,S13002929,S,,EH1 1SP
EH1 3SP,10,N,1,1,0,1,0,1,0,325936,674211,S92000003,,S08000024,,S12000036,S13002929,L,,EH1 3SP
EH104SP,10,N,3,3,3,0,0,3,0,324922,670987,S92000003,,S08000024,,S12000036,S13002928,S,,EH104SP
EH105SP,10,N,16,16,16,0,0,16,0,323885,669818,S92000003,,S08000024,,S12000036,S13002928,S,EH105SP,
EH106SP,10,N,7,7,7,0,0,7,0,323961,668404,S92000003,,S08000024,,S12000036,S13002926,S,,EH106SP
EH111SP,10,N,26,26,26,0,0,26,0,323203,671749,S92000003,,S08000024,,S12000036,S13002927,S,EH111SP,
EH112SP,10,N,4,4,4,0,0,4,0,322232,672094,S92000003,,S08000024,,S12000036,S13002925,S,,EH112SP
EH113SP,10,N,6,6,6,0,0,6,0,320157,671636,S92000003,,S08000024,,S12000036,S13002925,S,,EH113SP
EH114SP,10,N,40,40,40,0,0,40,0,320675,670792,S92000003,,S08000024,,S12000036,S13002925,S,EH114SP,
EH125SP,10,N,4,4,3,1,0,4,0,321688,672985,S92000003,,S08000024,,S12000036,S13002924,S,,EH125SP
EH127SP,10,N,12,12,12,0,0,12,0,319837,672832,S92000003,,S08000024,,S12000036,S13002924,S,EH127SP,
EH128SP,10,N,12,12,12,0,0,12,0,319295,673351,S92000003,,S08000024,,S12000036,S13002924,S,EH128SP,
EH141SP,10,N,26,26,26,0,0,26,0,322071,671569,S92000003,,S08000024,,S12000036,S13002927,S,EH141SP,
EH142SP,10,N,1,1,0,1,0,1,0,319676,669944,S92000003,,S08000024,,S12000036,S13002920,L,,EH142SP
EH145SP,10,N,21,21,21,0,0,21,0,316967,667265,S92000003,,S08000024,,S12000036,S13002920,S,EH145SP,
EH151SP,10,N,7,7,7,0,0,7,0,329392,673169,S92000003,,S08000024,,S12000036,S13002935,S,,EH151SP
EH164SP,10,N,2,2,2,0,0,2,0,330116,669433,S92000003,,S08000024,,S12000036,S13002934,S,,EH164SP
EH165SP,10,N,15,15,15,0,0,15,0,328444,670353,S92000003,,S08000024,,S12000036,S13002934,S,EH165SP,
EH166SP,10,N,18,18,18,0,0,18,0,327710,669026,S92000003,,S08000024,,S12000036,S13002934,S,EH166SP,
EH178SP,10,N,29,29,29,0,0,29,0,327013,668122,S92000003,,S08000024,,S12000036,S13002934,S,EH178SP,
EH209SP,10,Y,1,1,0,0,1,1,0,331002,665058,S92000003,,S08000024,,S12000019,S13003019,L,,EH209SP
EH216SP,10,N,29,29,29,0,0,29,0,333279,671625,S92000003,,S08000024,,S12000010,S13002908,S,EH216SP,
EH217SP,10,N,32,32,32,0,0,32,0,334768,673090,S92000003,,S08000024,,S12000010,S13002908,S,EH217SP,
EH218SP,10,N,9,9,9,0,0,9,0,332155,671778,S92000003,,S08000024,,S12000036,S13002935,S,,EH218SP
EH221SP,10,N,4,2,1,3,0,2,2,331939,669506,S92000003,,S08000024,,S12000019,S13003020,S,,EH221SP
EH224SP,10,N,40,40,40,0,0,40,0,333962,664923,S92000003,,S08000024,,S12000019,S13003023,S,EH224SP,
EH225SP,10,N,15,15,15,0,0,15,0,334617,664557,S92000003,,S08000024,,S12000019,S13003022,S,EH225SP,
EH229SP,10,N,1,1,0,1,0,1,0,333172,667083,S92000003,,S08000024,,S12000019,S13003020,S,,EH229SP
EH234SP,10,N,1,1,1,0,0,1,0,330280,657457,S92000003,,S08000024,,S12000019,S13003023,S,,EH234SP
EH259SP,10,N,25,25,24,1,0,25,0,326113,664475,S92000003,,S08000024,,S12000019,S13003021,S,EH259SP,
EH288SP,10,N,1,1,0,1,0,1,0,312185,672868,S92000003,,S08000024,,S12000036,S13002919,S,,EH288SP
EH3 6SP,10,N,8,8,8,0,0,8,0,324951,674505,S92000003,,S08000024,,S12000036,S13002929,S,,EH3 6SP
EH309SP,10,N,17,15,17,0,0,15,2,311621,676770,S92000003,,S08000024,,S12000036,S13002919,S,EH309SP,
EH375SP,10,N,1,1,1,0,0,1,0,342481,661713,S92000003,,S08000024,,S12000019,S13003022,S,,EH375SP
EH4 3SP,10,N,6,6,6,0,0,6,0,321120,674652,S92000003,,S08000024,,S12000036,S13002923,S,,EH4 3SP
EH4 4SP,10,N,35,35,35,0,0,35,0,321106,676220,S92000003,,S08000024,,S12000036,S13002919,S,EH4 4SP,
EH4 7SP,10,N,10,10,10,0,0,10,0,319231,674619,S92000003,,S08000024,,S12000036,S13002921,S,,EH4 7SP
EH413SP,10,N,5,5,5,0,0,5,0,348555,674677,S92000003,,S08000024,,S12000010,S13002912,S,,EH413SP
EH419SP,10,N,1,1,0,1,0,1,0,351327,673817,S92000003,,S08000024,,S12000010,S13002912,S,,EH419SP
EH421SP,10,N,2,2,2,0,0,2,0,372063,673929,S92000003,,S08000024,,S12000010,S13002913,S,,EH421SP
EH458SP,10,N,2,2,2,0,0,2,0,325160,640457,S92000003,,S08000016,,S12000026,S13002761,S,,EH458SP
EH459SP,10,N,9,9,9,0,0,9,0,324526,640173,S92000003,,S08000016,,S12000026,S13002762,S,,EH459SP
EH470SP,10,N,35,35,35,0,0,35,0,295257,664974,S92000003,,S08000024,,S12000040,S13002826,S,EH470SP,
EH481SP,10,N,39,39,39,0,0,39,0,299583,668717,S92000003,,S08000024,,S12000040,S13002827,S,EH481SP,
EH482SP,10,N,33,33,33,0,0,33,0,296820,668248,S92000003,,S08000024,,S12000040,S13002827,S,EH482SP,
EH483SP,10,N,11,11,8,3,0,11,0,289896,667147,S92000003,,S08000024,,S12000040,S13002828,S,,EH483SP
EH497SP,10,N,15,15,15,0,0,15,0,300837,677265,S92000003,,S08000024,,S12000040,S13002820,S,EH497SP,
EH519SP,10,N,7,7,7,0,0,7,0,302009,680368,S92000003,,S08000019,,S12000014,S13002936,S,,EH519SP
EH525SP,10,N,34,34,34,0,0,34,0,306727,671594,S92000003,,S08000024,,S12000040,S13002821,S,EH525SP,
EH526SP,10,N,18,18,18,0,0,18,0,308738,674678,S92000003,,S08000024,,S12000040,S13002821,S,EH526SP,
EH530SP,10,N,35,35,35,0,0,35,0,306891,667058,S92000003,,S08000024,,S12000040,S13002824,S,EH530SP,
EH546SP,10,N,35,35,35,0,0,35,0,304201,667636,S92000003,,S08000024,,S12000040,S13002822,S,EH546SP,
EH548SP,10,N,50,50,50,0,0,50,0,302826,669131,S92000003,,S08000024,,S12000040,S13002822,S,EH548SP,
EH558SP,10,N,21,21,21,0,0,21,0,302844,663950,S92000003,,S08000024,,S12000040,S13002825,S,EH558SP,
EH6 4SP,10,N,10,10,9,1,0,10,0,325647,676205,S92000003,,S08000024,,S12000036,S13002930,S,,EH6 4SP
EH6 8SP,10,N,53,53,52,1,0,53,0,326719,675164,S92000003,,S08000024,,S12000036,S13002930,S,EH6 8SP,
EH7 5SP,10,N,6,6,4,2,0,6,0,327149,674446,S92000003,,S08000024,,S12000036,S13002930,S,,EH7 5SP
