,Postcode 1,Postcode 2,Postcode 3,Date Introduced,User Type,Easting,Northing,Positional Quality,County Code,County Name,Local Authority Code,Local Authority Name,Ward Code,Ward Name,Country Code,Country Name,Region Code,Region Name,Parliamentary Constituency Code,Parliamentary Constituency Name,European Electoral Region Code,European Electoral Region Name,Primary Care Trust Code,Primary Care Trust Name,Lower Super Output Area Code,Lower Super Output Area Name,Middle Super Output Area Code,Middle Super Output Area Name,Output Area Classification Code,Output Area Classification Name,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID,post
544278,SP7 8EE,SP7  8EE,SP7 8EE,Jan-80,0,386955,123598,1,E10000009,Dorset,E07000050,North Dorset,E05010010,Shaftesbury East,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020456,,E02004257,,8C2,Hard-pressed living;Hard pressed ageing workers;Ageing rural industry workers,-2.187322,51.011612,Postcode Level,04/01/2018,"(51.011612, -2.187322)",1467404,sp78ee
544348,SP8 5BS,SP8  5BS,SP8 5BS,Jan-80,0,376745,130292,1,E10000009,Dorset,E07000050,North Dorset,E05010008,Motcombe & Bourton,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020440,,E02004256,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-2.333289,51.071481,Postcode Level,04/01/2018,"(51.071481, -2.333289)",1468123,sp85bs
544387,SP110PG,SP11 0PG,SP11 0PG,Jan-80,0,439350,152545,1,E10000014,Hampshire,E07000084,Basingstoke and Deane,E05004436,"Burghclere, Highclere and St Mary Bourne",E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01022514,,E02004694,,1A2,Rural residents;Farming communities;Established farming communities,-1.436269,51.270327,Postcode Level,04/01/2018,"(51.270327, -1.436269)",1461930,sp110pg
544487,SP6 2NB,SP6  2NB,SP6 2NB,Jan-80,0,419199,118978,1,E10000014,Hampshire,E07000091,New Forest,E05008932,Downlands and Forest,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023012,,E02004779,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.727949,50.969903,Postcode Level,04/01/2018,"(50.969903, -1.727949)",1466900,sp62nb
545339,SP4 8FE,SP4  8FE,SP4 8FE,Dec-11,0,415354,144683,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008361,Durrington and Larkhill,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031999,,E02006662,,6B2,Suburbanites;Semi-detached suburbia;White suburban communities,-1.781623,51.201157,Postcode Level,04/01/2018,"(51.201157, -1.781623)",1465252,sp48fe
545399,SP109ZR,SP10 9ZR,SP10 9ZR,Feb-05,0,435626,145335,1,E10000014,Hampshire,E07000093,Test Valley,E05004643,Millway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023187,,E02004819,,6B3,Suburbanites;Semi-detached suburbia;Semi-detached ageing,-1.491419,51.206119,Postcode Level,04/01/2018,"(51.206119, -1.491419)",1461777,sp109zr
545478,SP6 1HN,SP6  1HN,SP6 1HN,Jan-80,0,414842,115209,1,E10000014,Hampshire,E07000091,New Forest,E05008933,Fordingbridge,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023023,,E02004779,,8C1,Hard-pressed living;Hard pressed ageing workers;Ageing industrious workers,-1.790152,50.936139,Postcode Level,04/01/2018,"(50.936139, -1.790152)",1466660,sp61hn
545792,SP8 4JJ,SP8  4JJ,SP8 4JJ,Jan-80,0,381147,126088,1,E10000009,Dorset,E07000050,North Dorset,E05010004,Gillingham Town,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020443,,E02004255,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-2.270236,51.033834,Postcode Level,04/01/2018,"(51.033834, -2.270236)",1467917,sp84jj
546058,SP1 3NT,SP1  3NT,SP1 3NT,Jan-80,0,414090,131607,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008390,Salisbury St Francis and Stratford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032019,,E02006668,,8C1,Hard-pressed living;Hard pressed ageing workers;Ageing industrious workers,-1.800222,51.083611,Postcode Level,04/01/2018,"(51.083611, -1.800222)",1460657,sp13nt
546511,SP103AU,SP10 3AU,SP10 3AU,Jan-80,0,435305,145365,1,E10000014,Hampshire,E07000093,Test Valley,E05004643,Millway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023187,,E02004819,,5A1,Urbanites;Urban professionals and families;White professionals,-1.496011,51.206409,Postcode Level,04/01/2018,"(51.206409, -1.496011)",1461187,sp103au
547154,SP5 2EQ,SP5  2EQ,SP5 2EQ,Jan-80,0,425362,120790,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008384,Redlynch and Landford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031973,,E02006677,,1C3,Rural residents;Ageing rural dwellers;Detached rural retirement,-1.640054,50.985959,Postcode Level,04/01/2018,"(50.985959, -1.640054)",1465815,sp52eq
547484,SP7 8SR,SP7  8SR,SP7 8SR,Dec-99,0,387127,123229,1,E10000009,Dorset,E07000050,North Dorset,E05010010,Shaftesbury East,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020455,,E02004257,,5A1,Urbanites;Urban professionals and families;White professionals,-2.184857,51.008298,Postcode Level,04/01/2018,"(51.008298, -2.184857)",1467589,sp78sr
547919,SP3 5PQ,SP3  5PQ,SP3 5PQ,Jan-80,0,396519,126497,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032031,,E02006676,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-2.051202,51.037903,Postcode Level,04/01/2018,"(51.037903, -2.051202)",1464221,sp35pq
547959,SP8 4NG,SP8  4NG,SP8 4NG,Jan-80,0,380050,126603,1,E10000009,Dorset,E07000050,North Dorset,E05010003,Gillingham Rural,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020463,,E02004255,,6A4,Suburbanites;Suburban achievers;Ageing in suburbia,-2.285914,51.038434,Postcode Level,04/01/2018,"(51.038434, -2.285914)",1467953,sp84ng
548788,SP103PZ,SP10 3PZ,SP10 3PZ,Jun-81,0,435652,146454,1,E10000014,Hampshire,E07000093,Test Valley,E05004641,Harroway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023183,,E02004817,,7A2,Constrained city dwellers;Challenged diversity;Hampered aspiration,-1.490936,51.216179,Postcode Level,04/01/2018,"(51.216179, -1.490936)",1461366,sp103pz
548841,SP102EZ,SP10 2EZ,SP10 2EZ,Feb-90,0,436762,144795,1,E10000014,Hampshire,E07000093,Test Valley,E05004651,Winton,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023217,,E02004819,,6B2,Suburbanites;Semi-detached suburbia;White suburban communities,-1.475214,51.201192,Postcode Level,04/01/2018,"(51.201192, -1.475214)",1461021,sp102ez
548969,SP2 0NT,SP2  0NT,SP2 0NT,Jan-80,0,408063,135158,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008400,Till and Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032013,,E02006664,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.886188,51.115657,Postcode Level,04/01/2018,"(51.115657, -1.886188)",1463123,sp20nt
549314,SP116RA,SP11 6RA,SP11 6RA,Jan-93,0,436702,148995,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023155,,E02004816,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-1.475644,51.238961,Postcode Level,04/01/2018,"(51.238961, -1.475644)",1462229,sp116ra
549331,SP118JH,SP11 8JH,SP11 8JH,Jan-80,0,427993,142081,1,E10000014,Hampshire,E07000093,Test Valley,E05004631,Amport,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023159,,E02004820,,1C1,Rural residents;Ageing rural dwellers;Rural employment and retirees,-1.60093,51.177284,Postcode Level,04/01/2018,"(51.177284, -1.60093)",1462637,sp118jh
549377,SP3 5RA,SP3  5RA,SP3 5RA,Jan-80,0,398805,132639,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008380,Nadder and East Knoyle,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032004,,E02006669,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-2.018441,51.093059,Postcode Level,04/01/2018,"(51.093059, -2.018441)",1464246,sp35ra
549410,SP6 1SY,SP6  1SY,SP6 1SY,May-05,0,412643,114833,1,E10000014,Hampshire,E07000091,New Forest,E05008933,Fordingbridge,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023021,,E02004779,,1C3,Rural residents;Ageing rural dwellers;Detached rural retirement,-1.821459,50.932809,Postcode Level,04/01/2018,"(50.932809, -1.821459)",1466778,sp61sy
549495,SP1 3RE,SP1  3RE,SP1 3RE,Jun-01,0,414493,130273,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008389,Salisbury St Edmund and Milford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032014,,E02006671,,7A2,Constrained city dwellers;Challenged diversity;Hampered aspiration,-1.794522,51.071606,Postcode Level,04/01/2018,"(51.071606, -1.794522)",1460704,sp13re
550662,SP6 1BS,SP6  1BS,SP6 1BS,Jan-80,0,414564,113974,1,E10000014,Hampshire,E07000091,New Forest,E05008933,Fordingbridge,E92000001,England,E12000008,South East,E14000828,New Forest West,E15000008,South East,E16000133,Hampshire,E01023022,,E02004779,,5A1,Urbanites;Urban professionals and families;White professionals,-1.794157,50.92504,Postcode Level,04/01/2018,"(50.92504, -1.794157)",1466593,sp61bs
550768,SP102PT,SP10 2PT,SP10 2PT,Jan-95,0,437011,145547,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023202,,E02004816,,5B1,Urbanites;Ageing urban living;Delayed retirement,-1.471573,51.207938,Postcode Level,04/01/2018,"(51.207938, -1.471573)",1461117,sp102pt
550850,SP118JF,SP11 8JF,SP11 8JF,Jan-80,0,428823,142126,1,E10000014,Hampshire,E07000093,Test Valley,E05004631,Amport,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023159,,E02004820,,1A2,Rural residents;Farming communities;Established farming communities,-1.589042,51.177643,Postcode Level,04/01/2018,"(51.177643, -1.589042)",1462635,sp118jf
551166,SP1 2HA,SP1  2HA,SP1 2HA,Jan-80,0,414595,129438,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008392,Salisbury St Martin's and Cathedral,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032023,,E02006674,,7A3,Constrained city dwellers;Challenged diversity;Multi-ethnic hardship,-1.793099,51.064095,Postcode Level,04/01/2018,"(51.064095, -1.793099)",1460348,sp12ha
551206,SP2 9EU,SP2  9EU,SP2 9EU,Jan-80,0,412205,131245,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008386,Salisbury Bemerton,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031983,,E02006667,,7A2,Constrained city dwellers;Challenged diversity;Hampered aspiration,-1.827145,51.080399,Postcode Level,04/01/2018,"(51.080399, -1.827145)",1463748,sp29eu
551623,SP2 0JA,SP2  0JA,SP2 0JA,Jan-80,0,409332,131552,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008419,Wilton and Lower Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032039,,E02006669,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-1.86815,51.083212,Postcode Level,04/01/2018,"(51.083212, -1.86815)",1463077,sp20ja
551761,SP116RJ,SP11 6RJ,SP11 6RJ,May-12,0,437607,147940,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023155,,E02004816,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.462792,51.229416,Postcode Level,04/01/2018,"(51.229416, -1.462792)",1462236,sp116rj
551795,SP7 0LJ,SP7  0LJ,SP7 0LJ,Jan-80,0,382282,116659,1,E10000009,Dorset,E07000050,North Dorset,E05010014,The Stours & Marnhull,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020462,,E02004256,,1A3,Rural residents;Farming communities;Agricultural communities,-2.253587,50.949083,Postcode Level,04/01/2018,"(50.949083, -2.253587)",1467274,sp70lj
551814,SP101NL,SP10 1NL,SP10 1NL,Jan-80,0,436502,145485,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023202,,E02004816,,2C1,Cosmopolitans;Comfortable cosmopolitan;Migrant families,-1.478865,51.207413,Postcode Level,04/01/2018,"(51.207413, -1.478865)",1460899,sp101nl
552355,SP110BA,SP11 0BA,SP11 0BA,Jan-80,0,438998,152812,1,E10000014,Hampshire,E07000093,Test Valley,E05004634,Bourne Valley,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023165,,E02004814,,1C1,Rural residents;Ageing rural dwellers;Rural employment and retirees,-1.442342,51.273129,Postcode Level,04/01/2018,"(51.273129, -1.442342)",1461805,sp110ba
552428,SP116FW,SP11 6FW,SP11 6FW,Nov-09,0,437269,147468,1,E10000014,Hampshire,E07000093,Test Valley,E05004629,Alamein,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023155,,E02004816,,5A2,Urbanites;Urban professionals and families;Multi-ethnic professionals with families,-1.467668,51.22519,Postcode Level,04/01/2018,"(51.22519, -1.467668)",1462091,sp116fw
552618,SP2 9LF,SP2  9LF,SP2 9LF,Jan-80,0,412524,131346,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008386,Salisbury Bemerton,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031982,,E02006667,,8A2,Hard-pressed living;Industrious communities;Industrious hardship,-1.822588,51.0813,Postcode Level,04/01/2018,"(51.0813, -1.822588)",1463801,sp29lf
552753,SP7 8BX,SP7  8BX,SP7 8BX,Jan-80,0,388269,122403,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008401,Tisbury,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01031991,,E02006676,,1C1,Rural residents;Ageing rural dwellers;Rural employment and retirees,-2.168553,51.000895,Postcode Level,04/01/2018,"(51.000895, -2.168553)",1467379,sp78bx
552754,SP119BU,SP11 9BU,SP11 9BU,Jan-80,0,430506,148271,1,E10000014,Hampshire,E07000093,Test Valley,E05004646,Penton Bellinger,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023196,,E02004818,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.564457,51.232814,Postcode Level,04/01/2018,"(51.232814, -1.564457)",1462749,sp119bu
553657,SP5 2QX,SP5  2QX,SP5 2QX,Jan-80,0,425774,124751,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008328,Alderbury and Whiteparish,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031972,,E02006675,,1A3,Rural residents;Farming communities;Agricultural communities,-1.633893,51.021552,Postcode Level,04/01/2018,"(51.021552, -1.633893)",1465933,sp52qx
554249,SP119AU,SP11 9AU,SP11 9AU,Jan-80,0,429670,149011,1,E10000014,Hampshire,E07000093,Test Valley,E05004646,Penton Bellinger,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023198,,E02004820,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.57637,51.239512,Postcode Level,04/01/2018,"(51.239512, -1.57637)",1462732,sp119au
554297,SP103HW,SP10 3HW,SP10 3HW,Jan-93,0,435606,145961,1,E10000014,Hampshire,E07000093,Test Valley,E05004643,Millway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023190,,E02004817,,5B3,Urbanites;Ageing urban living;Self-sufficient retirement,-1.491631,51.211745,Postcode Level,04/01/2018,"(51.211745, -1.491631)",1461284,sp103hw
554396,SP5 5EX,SP5  5EX,SP5 5EX,Jan-80,0,403765,125645,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008363,Fovant and Chalke Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031990,,E02006669,,1B2,Rural residents;Rural tenants;Rural white-collar workers,-1.947679,51.030152,Postcode Level,04/01/2018,"(51.030152, -1.947679)",1466426,sp55ex
554438,SP102LL,SP10 2LL,SP10 2LL,Jan-80,0,435321,144967,1,E10000014,Hampshire,E07000093,Test Valley,E05004643,Millway,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023188,,E02004819,,6B2,Suburbanites;Semi-detached suburbia;White suburban communities,-1.495821,51.202829,Postcode Level,04/01/2018,"(51.202829, -1.495821)",1461083,sp102ll
554935,SP1 3JN,SP1  3JN,SP1 3JN,Jan-80,0,413987,131493,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008390,Salisbury St Francis and Stratford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032019,,E02006668,,7A3,Constrained city dwellers;Challenged diversity;Multi-ethnic hardship,-1.801697,51.082588,Postcode Level,04/01/2018,"(51.082588, -1.801697)",1460612,sp13jn
555003,SP119DD,SP11 9DD,SP11 9DD,Jan-05,0,426495,150860,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008368,Ludgershall and Perham Down,E92000001,England,E12000009,South West,E14000665,Devizes,E15000009,South West,E16000140,Wiltshire,E01031859,,E02006643,,7A2,Constrained city dwellers;Challenged diversity;Hampered aspiration,-1.621713,51.256293,Postcode Level,04/01/2018,"(51.256293, -1.621713)",1462754,sp119dd
555046,SP2 9NF,SP2  9NF,SP2 9NF,Jan-80,0,412731,130367,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008387,Salisbury Fisherton and Bemerton Village,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032001,,E02006670,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.819667,51.072492,Postcode Level,04/01/2018,"(51.072492, -1.819667)",1463820,sp29nf
555558,SP4 7SF,SP4  7SF,SP4 7SF,Jan-92,0,416718,141129,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008329,Amesbury East,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031978,,E02006663,,5A2,Urbanites;Urban professionals and families;Multi-ethnic professionals with families,-1.762265,51.169162,Postcode Level,04/01/2018,"(51.169162, -1.762265)",1465107,sp47sf
555908,SP1 3JP,SP1  3JP,SP1 3JP,Jan-80,0,413913,131595,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008390,Salisbury St Francis and Stratford,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032019,,E02006668,,8C1,Hard-pressed living;Hard pressed ageing workers;Ageing industrious workers,-1.802749,51.083507,Postcode Level,04/01/2018,"(51.083507, -1.802749)",1460613,sp13jp
556287,SP3 6JL,SP3  6JL,SP3 6JL,Jan-80,0,394573,129333,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008401,Tisbury,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032030,,E02006676,,5B2,Urbanites;Ageing urban living;Communal retirement,-2.078821,51.063306,Postcode Level,04/01/2018,"(51.063306, -2.078821)",1464394,sp36jl
556291,SP8 4TH,SP8  4TH,SP8 4TH,Feb-90,0,380689,127639,1,E10000009,Dorset,E07000050,North Dorset,E05010004,Gillingham Town,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020450,,E02004256,,6B2,Suburbanites;Semi-detached suburbia;White suburban communities,-2.276856,51.047772,Postcode Level,04/01/2018,"(51.047772, -2.276856)",1468049,sp84th
556801,SP102HR,SP10 2HR,SP10 2HR,Jan-80,0,436215,144294,1,E10000014,Hampshire,E07000093,Test Valley,E05004651,Winton,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023218,,E02004819,,6A3,Suburbanites;Suburban achievers;Detached retirement living,-1.483093,51.196722,Postcode Level,04/01/2018,"(51.196722, -1.483093)",1461051,sp102hr
556803,SP5 3NN,SP5  3NN,SP5 3NN,Jan-80,0,416410,121593,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008360,Downton and Ebble Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031995,,E02006677,,1B3,Rural residents;Rural tenants;Ageing rural flat tenants,-1.767571,50.993487,Postcode Level,04/01/2018,"(50.993487, -1.767571)",1466127,sp53nn
556925,SP1 3FP,SP1  3FP,SP1 3FP,Jan-95,0,415441,132018,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008391,Salisbury St Mark's and Bishopdown,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031984,,E02006666,,6A2,Suburbanites;Suburban achievers;Comfortable suburbia,-1.780917,51.087272,Postcode Level,04/01/2018,"(51.087272, -1.780917)",1460559,sp13fp
557098,SP7 8EN,SP7  8EN,SP7 8EN,May-03,0,387074,123211,1,E10000009,Dorset,E07000050,North Dorset,E05010010,Shaftesbury East,E92000001,England,E12000009,South West,E14000839,North Dorset,E15000009,South West,E16000142,Dorset,E01020455,,E02004257,,5A1,Urbanites;Urban professionals and families;White professionals,-2.185612,51.008135,Postcode Level,04/01/2018,"(51.008135, -2.185612)",1467410,sp78en
557184,SP3 6ED,SP3  6ED,SP3 6ED,Jan-80,0,391230,132665,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008380,Nadder and East Knoyle,E92000001,England,E12000009,South West,E14000954,South West Wiltshire,E15000009,South West,E16000140,Wiltshire,E01032010,,E02006665,,1A2,Rural residents;Farming communities;Established farming communities,-2.126608,51.093226,Postcode Level,04/01/2018,"(51.093226, -2.126608)",1464346,sp36ed
557355,SP4 7QR,SP4  7QR,SP4 7QR,Dec-94,0,416994,141321,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008329,Amesbury East,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031977,,E02006663,,6B2,Suburbanites;Semi-detached suburbia;White suburban communities,-1.758309,51.170881,Postcode Level,04/01/2018,"(51.170881, -1.758309)",1465077,sp47qr
558080,SP103JB,SP10 3JB,SP10 3JB,Jan-80,0,435853,145924,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023204,,E02004817,,5A3,Urbanites;Urban professionals and families;Families in terraces and flats,-1.488111,51.211401,Postcode Level,04/01/2018,"(51.211401, -1.488111)",1461289,sp103jb
558142,SP101NX,SP10 1NX,SP10 1NX,Jan-80,0,436497,145416,1,E10000014,Hampshire,E07000093,Test Valley,E05004648,St Mary's,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023202,,E02004816,,2C1,Cosmopolitans;Comfortable cosmopolitan;Migrant families,-1.478944,51.206793,Postcode Level,04/01/2018,"(51.206793, -1.478944)",1460905,sp101nx
558600,SP118DF,SP11 8DF,SP11 8DF,Jan-80,0,431002,146659,1,E10000014,Hampshire,E07000093,Test Valley,E05004631,Amport,E92000001,England,E12000008,South East,E14000857,North West Hampshire,E15000008,South East,E16000133,Hampshire,E01023159,,E02004820,,1C2,Rural residents;Ageing rural dwellers;Renting rural retirement,-1.557482,51.218289,Postcode Level,04/01/2018,"(51.218289, -1.557482)",1462584,sp118df
558651,SP2 8TD,SP2  8TD,SP2 8TD,Dec-00,0,414701,128404,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008388,Salisbury Harnham,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032005,,E02006674,,5B2,Urbanites;Ageing urban living;Communal retirement,-1.791628,51.054794,Postcode Level,04/01/2018,"(51.054794, -1.791628)",1463672,sp28td
559203,SP3 4FU,SP3  4FU,SP3 4FU,Oct-02,0,406994,143464,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008400,Till and Wylye Valley,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01032026,,E02006661,,1B1,Rural residents;Rural tenants;Rural life,-1.901292,51.190353,Postcode Level,04/01/2018,"(51.190353, -1.901292)",1463928,sp34fu
559379,SP5 3HD,SP5  3HD,SP5 3HD,Jan-80,0,419824,125978,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008328,Alderbury and Whiteparish,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031971,,E02006675,,5A1,Urbanites;Urban professionals and families;White professionals,-1.718668,51.032826,Postcode Level,04/01/2018,"(51.032826, -1.718668)",1466069,sp53hd
559611,SP4 7QX,SP4  7QX,SP4 7QX,Jan-80,0,417102,141165,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008329,Amesbury East,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031977,,E02006663,,6B3,Suburbanites;Semi-detached suburbia;Semi-detached ageing,-1.756771,51.169475,Postcode Level,04/01/2018,"(51.169475, -1.756771)",1465082,sp47qx
559808,SP2 9EA,SP2  9EA,SP2 9EA,Jan-80,0,412053,131552,1,E99999999,(pseudo) England (UA/MD/LB),E06000054,Wiltshire,E05008386,Salisbury Bemerton,E92000001,England,E12000009,South West,E14000912,Salisbury,E15000009,South West,E16000140,Wiltshire,E01031981,,E02006667,,7C3,Constrained city dwellers;White communities;Outer city hardship,-1.829295,51.083156,Postcode Level,04/01/2018,"(51.083156, -1.829295)",1463734,sp29ea
