PC,PQ,PR,TP,DQ,RP,BP,PD,MP,UM,EA,NO,CY,RH,LH,CC,DC,WC,LS
SP1 2HZ,10,N,21,21,21,0,0,21,0,414986,129719,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JA,10,N,9,9,6,3,0,9,0,414951,129751,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JB,10,N,7,7,7,0,0,7,0,414995,129678,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JD,10,N,15,15,15,0,0,15,0,415027,129669,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JE,10,N,9,9,9,0,0,9,0,415004,129644,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JF,10,N,1,1,1,0,0,1,0,415058,129737,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JG,10,N,5,5,0,5,0,5,0,415223,129662,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JH,10,N,39,39,39,0,0,39,0,415252,129574,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JJ,10,N,23,23,20,3,0,23,0,415151,129624,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JL,10,N,11,11,11,0,0,11,0,415282,129517,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JN,10,N,14,14,14,0,0,14,0,415099,129511,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JP,10,N,6,6,6,0,0,6,0,415202,129541,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JR,10,N,20,20,20,0,0,20,0,415270,129490,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JS,10,N,1,1,0,1,0,1,0,415224,129448,E92000001,E19000002,E18000010,,E06000054,E05008392,L
SP1 2JU,10,N,22,22,22,0,0,22,0,415278,129439,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JW,10,N,9,9,8,1,0,9,0,415162,129464,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JX,10,N,13,13,13,0,0,13,0,415317,129503,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2JZ,10,N,16,16,16,0,0,16,0,415341,129464,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2LA,10,N,18,15,18,0,0,15,3,415713,129444,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2LB,10,N,11,11,1,10,0,11,0,415519,129332,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2LE,10,N,15,15,0,15,0,15,0,415411,129301,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2LF,10,N,12,12,12,0,0,12,0,414657,129339,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2LH,10,N,28,28,28,0,0,28,0,414691,129839,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2LJ,10,N,10,10,10,0,0,10,0,414696,129805,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2LN,10,N,1,1,0,1,0,1,0,415444,129504,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2LP,10,N,17,16,3,14,0,16,1,415220,129628,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2LU,10,N,36,36,36,0,0,36,0,414882,129825,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2LW,10,N,1,1,0,1,0,1,0,414984,129491,E92000001,E19000002,E18000010,,E06000054,E05008392,L
SP1 2LX,10,N,8,8,0,8,0,8,0,414291,129957,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2LZ,10,N,1,1,0,1,0,1,0,414264,129964,E92000001,E19000002,E18000010,,E06000054,E05008389,L
SP1 2NB,10,N,2,2,0,2,0,2,0,415516,129505,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2ND,10,N,2,2,0,2,0,2,0,414264,129928,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2NE,10,N,12,12,5,7,0,12,0,414331,129948,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2NG,10,N,10,10,2,8,0,10,0,414343,129919,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2NH,10,N,2,2,0,2,0,2,0,414313,129914,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2NJ,10,N,10,10,2,8,0,10,0,414301,129835,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2NN,10,N,1,1,0,1,0,1,0,414297,129817,E92000001,E19000002,E18000010,,E06000054,E05008389,L
SP1 2NP,10,N,1,1,0,1,0,1,0,414285,129929,E92000001,E19000002,E18000010,,E06000054,E05008389,L
SP1 2NT,10,N,10,10,3,7,0,10,0,414266,129835,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2NW,10,N,5,5,1,4,0,5,0,414283,129909,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2NY,10,N,11,11,1,10,0,11,0,415832,129270,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2NZ,10,N,6,6,0,6,0,6,0,415771,129323,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2PB,10,N,11,11,3,8,0,11,0,414286,129779,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2PD,10,N,1,1,0,1,0,1,0,414284,129761,E92000001,E19000002,E18000010,,E06000054,E05008392,L
SP1 2PF,10,N,9,9,3,6,0,9,0,414262,129780,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2PH,10,N,55,49,27,28,0,49,6,414381,129777,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2PQ,10,N,1,1,0,1,0,1,0,414258,129775,E92000001,E19000002,E18000010,,E06000054,E05008392,L
SP1 2PT,10,N,1,1,0,1,0,1,0,414872,129688,E92000001,E19000002,E18000010,,E06000054,E05008392,L
SP1 2PU,10,N,13,13,8,5,0,13,0,414225,129797,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QB,10,N,1,1,0,1,0,1,0,414183,129807,E92000001,E19000002,E18000010,,E06000054,E05008392,L
SP1 2QD,10,N,14,14,10,4,0,14,0,414212,129822,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2QH,10,N,24,24,24,0,0,24,0,414991,129881,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QL,10,N,15,15,15,0,0,15,0,414883,129897,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QP,10,N,38,38,37,1,0,38,0,415017,129841,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QQ,10,N,2,2,1,1,0,2,0,415898,129401,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QR,10,N,1,1,0,1,0,1,0,415241,129925,E92000001,E19000002,E18000010,,E06000054,E05008392,L
SP1 2QS,10,N,8,8,8,0,0,8,0,415113,129802,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QT,10,N,9,9,9,0,0,9,0,415132,129783,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QU,10,N,25,25,23,2,0,25,0,414949,129822,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QX,10,N,40,40,40,0,0,40,0,414988,129902,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QY,10,N,1,1,1,0,0,1,0,415241,129925,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2QZ,10,N,1,1,1,0,0,1,0,415062,129941,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2RA,10,N,1,1,0,1,0,1,0,415136,129960,E92000001,E19000002,E18000010,,E06000054,E05008392,L
SP1 2RB,10,N,2,2,0,2,0,2,0,415331,130104,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RD,10,N,1,1,0,1,0,1,0,415126,130024,E92000001,E19000002,E18000010,,E06000054,E05008389,L
SP1 2RE,10,N,14,14,13,1,0,14,0,415165,129835,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RF,10,N,5,5,5,0,0,5,0,415239,129862,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RG,10,N,11,11,11,0,0,11,0,415270,129827,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RH,10,N,10,10,10,0,0,10,0,415441,129752,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RJ,10,N,11,11,11,0,0,11,0,415447,129795,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RL,10,N,43,43,43,0,0,43,0,415469,129633,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RN,10,N,12,12,11,1,0,12,0,415560,129735,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RQ,10,N,29,29,29,0,0,29,0,415395,129813,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RR,10,N,27,27,27,0,0,27,0,415459,129948,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RS,10,N,1,1,0,1,0,1,0,415509,129832,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RT,10,N,11,11,11,0,0,11,0,415652,129830,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RU,10,N,43,43,43,0,0,43,0,415421,129930,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RX,10,N,11,11,11,0,0,11,0,415187,129885,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RY,10,N,14,14,14,0,0,14,0,415113,129851,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2RZ,10,N,21,21,21,0,0,21,0,415664,129757,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SA,10,N,7,7,7,0,0,7,0,415390,130150,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SB,10,N,7,7,4,3,0,7,0,414574,129685,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SD,10,N,1,1,0,1,0,1,0,414569,129722,E92000001,E19000002,E18000010,,E06000054,E05008392,L
SP1 2SE,10,N,20,20,20,0,0,20,0,414566,129564,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SF,10,N,31,31,30,1,0,31,0,414541,129415,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SG,10,N,17,17,14,3,0,17,0,414522,129272,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SH,10,N,7,7,7,0,0,7,0,414570,129578,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SJ,10,N,9,9,9,0,0,9,0,414323,129228,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SN,10,N,10,10,10,0,0,10,0,414356,129128,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SP,10,N,4,4,3,1,0,4,0,415039,129974,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 2SQ,10,N,21,21,21,0,0,21,0,414567,129350,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SR,10,N,1,1,0,1,0,1,0,415425,130361,E92000001,E19000002,E18000010,,E06000054,E05008367,S
SP1 2SS,10,N,7,7,7,0,0,7,0,415627,129868,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SU,10,N,49,49,49,0,0,49,0,414738,129586,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SW,10,N,30,29,29,1,0,29,1,414414,129164,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SX,10,N,13,13,13,0,0,13,0,414701,129605,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2SY,10,N,15,15,15,0,0,15,0,414768,129525,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2TF,10,N,8,8,8,0,0,8,0,414838,129512,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2TG,10,N,14,14,14,0,0,14,0,414799,129547,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2TH,10,N,6,6,6,0,0,6,0,414834,129574,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2TJ,10,N,14,14,3,11,0,14,0,415685,129193,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 2TW,10,Y,1,1,0,0,1,1,0,413857,130232,E92000001,E19000002,E18000010,,E06000054,E05008393,L
SP1 2UD,10,N,3,3,0,3,0,3,0,415346,129614,E92000001,E19000002,E18000010,,E06000054,E05008392,S
SP1 3AA,10,N,28,28,27,1,0,28,0,414409,130564,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AB,10,N,51,51,51,0,0,51,0,414523,130608,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AD,10,N,19,19,19,0,0,19,0,414489,130680,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AE,10,N,6,6,6,0,0,6,0,414602,130626,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AF,10,N,24,24,24,0,0,24,0,414662,130602,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AG,10,N,14,14,14,0,0,14,0,414708,130669,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AH,10,N,17,17,17,0,0,17,0,414649,130664,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AJ,10,N,13,13,13,0,0,13,0,414737,130605,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AL,10,N,55,55,54,1,0,55,0,414830,130467,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AN,10,N,5,5,5,0,0,5,0,414834,130432,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AP,10,N,6,6,6,0,0,6,0,414894,130378,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AQ,10,N,28,28,27,1,0,28,0,414747,130712,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AR,10,N,3,3,3,0,0,3,0,414543,130318,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AS,10,N,25,25,18,7,0,25,0,414942,130440,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AT,10,N,60,60,59,1,0,60,0,414857,130518,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AU,10,N,48,48,47,1,0,48,0,414862,130549,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AW,10,N,7,7,7,0,0,7,0,414861,130413,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AX,10,N,30,29,27,3,0,29,1,414995,130528,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AY,10,N,61,61,60,1,0,61,0,414868,130626,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3AZ,10,N,60,60,60,0,0,60,0,414857,130662,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3BA,10,N,13,13,13,0,0,13,0,414686,130725,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3BB,10,N,5,5,5,0,0,5,0,414427,130272,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3BD,10,N,35,35,35,0,0,35,0,415522,132634,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3BE,10,N,4,4,4,0,0,4,0,414972,131026,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3BF,10,N,10,10,10,0,0,10,0,415292,132603,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3BG,10,N,55,55,54,1,0,55,0,414921,130723,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3BH,10,N,42,42,42,0,0,42,0,414744,130873,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3BJ,10,N,11,11,11,0,0,11,0,414874,131010,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3BL,10,N,6,6,2,4,0,6,0,414840,131336,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3BN,10,N,34,34,34,0,0,34,0,414869,131161,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3BP,10,N,12,12,12,0,0,12,0,414686,131276,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3BQ,10,N,1,1,0,1,0,1,0,414839,130828,E92000001,E19000002,E18000010,,E06000054,E05008391,L
SP1 3BS,10,N,10,10,10,0,0,10,0,414690,131178,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3BT,10,N,21,21,21,0,0,21,0,414606,131010,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3BU,10,N,20,20,20,0,0,20,0,414617,130978,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3BW,10,N,13,13,13,0,0,13,0,414770,131230,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3BX,10,N,16,16,16,0,0,16,0,414742,131063,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3BY,10,N,20,20,20,0,0,20,0,414579,131048,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3BZ,10,N,25,25,25,0,0,25,0,414529,131076,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3DA,10,N,14,14,14,0,0,14,0,414466,130947,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3DB,10,N,51,51,51,0,0,51,0,414632,130924,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3DD,10,N,9,9,9,0,0,9,0,414979,130939,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DE,10,N,23,23,23,0,0,23,0,415355,132581,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DF,10,N,43,43,43,0,0,43,0,415890,132490,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DG,10,N,12,12,12,0,0,12,0,415077,130837,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DH,10,N,6,6,6,0,0,6,0,415031,130666,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DJ,10,N,20,20,20,0,0,20,0,414972,130869,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DL,10,N,26,26,25,1,0,26,0,415101,130724,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DN,10,N,10,10,10,0,0,10,0,415106,130781,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DP,10,N,17,17,17,0,0,17,0,415043,131506,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DQ,10,N,24,24,24,0,0,24,0,415419,132591,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DR,10,N,9,9,9,0,0,9,0,415159,131618,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DS,10,N,27,27,26,1,0,27,0,415246,131614,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DT,10,N,20,20,20,0,0,20,0,415331,131656,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DU,10,N,4,4,4,0,0,4,0,415322,131692,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DW,10,N,25,25,25,0,0,25,0,414999,131180,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DX,10,N,35,35,35,0,0,35,0,415142,131667,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DY,10,N,20,20,20,0,0,20,0,415283,131753,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3DZ,10,N,21,21,21,0,0,21,0,415378,131814,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EA,10,N,12,12,12,0,0,12,0,415432,131869,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EB,10,N,35,35,35,0,0,35,0,415530,131840,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3ED,10,N,19,19,19,0,0,19,0,415643,131749,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EE,10,N,18,18,18,0,0,18,0,415460,131784,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EF,10,N,9,9,9,0,0,9,0,415379,131756,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EG,10,N,2,2,2,0,0,2,0,415561,131752,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EH,10,N,37,37,37,0,0,37,0,415489,131578,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EJ,10,N,6,6,6,0,0,6,0,415327,131504,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EL,10,N,33,33,33,0,0,33,0,415291,131597,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EN,10,N,19,19,19,0,0,19,0,415188,131554,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EP,10,N,89,89,89,0,0,89,0,415053,131316,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EQ,10,N,16,16,16,0,0,16,0,415519,131640,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3ER,10,N,47,47,47,0,0,47,0,415826,132543,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3ES,10,N,10,10,10,0,0,10,0,414984,130792,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3ET,10,N,2,2,2,0,0,2,0,414169,130883,E92000001,E19000002,E18000010,,E06000054,E05008393,S
SP1 3EU,10,N,8,8,8,0,0,8,0,414117,131520,E92000001,E19000002,E18000010,,E06000054,E05008390,S
SP1 3EW,10,N,42,42,42,0,0,42,0,415128,131494,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3EX,10,N,9,9,9,0,0,9,0,415132,130660,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3EY,10,N,23,23,23,0,0,23,0,415201,130718,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3EZ,10,N,39,39,39,0,0,39,0,415279,130806,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3FA,10,N,32,32,32,0,0,32,0,415811,131968,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FB,10,N,37,37,37,0,0,37,0,415717,132030,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FD,10,N,29,29,29,0,0,29,0,415889,132063,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FE,10,N,34,34,34,0,0,34,0,415718,131969,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FF,10,N,18,18,17,1,0,18,0,415399,132102,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FG,10,N,10,10,10,0,0,10,0,415464,132249,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FH,10,N,20,20,20,0,0,20,0,415559,132165,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FJ,10,N,16,16,16,0,0,16,0,415721,132109,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FL,10,N,23,23,23,0,0,23,0,415536,132270,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FN,10,N,9,9,9,0,0,9,0,415661,132248,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FP,10,N,18,18,18,0,0,18,0,415441,132018,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FQ,10,N,52,52,52,0,0,52,0,415830,132179,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FR,10,N,5,5,5,0,0,5,0,415438,132110,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FS,10,N,4,4,4,0,0,4,0,415455,132142,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FT,10,N,4,4,4,0,0,4,0,414404,130212,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3FU,10,N,30,30,30,0,0,30,0,415547,132581,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FW,10,N,10,10,10,0,0,10,0,415597,132282,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FX,10,N,11,11,11,0,0,11,0,415540,132102,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FY,10,N,11,11,11,0,0,11,0,415532,132003,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3FZ,10,N,32,32,32,0,0,32,0,415249,132128,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GA,10,N,12,12,12,0,0,12,0,415331,132117,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GB,10,N,19,19,19,0,0,19,0,415347,132063,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GD,10,N,30,30,30,0,0,30,0,415321,132433,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GE,10,N,4,4,4,0,0,4,0,414427,130351,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3GF,10,N,24,24,24,0,0,24,0,414454,130333,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3GH,10,N,15,15,15,0,0,15,0,415139,132268,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GJ,10,N,7,7,7,0,0,7,0,415160,132156,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GL,10,N,10,10,10,0,0,10,0,415404,132133,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GN,10,N,4,4,4,0,0,4,0,415156,132461,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GQ,10,N,33,33,33,0,0,33,0,415085,132234,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GR,10,N,15,15,15,0,0,15,0,415128,132350,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GS,10,N,23,23,23,0,0,23,0,415184,132418,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GT,10,N,8,8,8,0,0,8,0,415224,132387,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GU,10,N,1,1,0,1,0,1,0,416107,132297,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GW,10,N,16,16,16,0,0,16,0,415214,132456,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GX,10,N,32,32,32,0,0,32,0,415457,132351,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GY,10,N,29,29,28,1,0,29,0,415189,132230,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3GZ,10,N,16,16,13,3,0,16,0,415383,132323,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3HA,10,N,29,29,29,0,0,29,0,415215,130845,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3HB,10,N,2,2,2,0,0,2,0,415223,130951,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3HD,10,N,4,4,4,0,0,4,0,415273,130840,E92000001,E19000002,E18000010,,E06000054,E05008389,S
SP1 3HE,10,N,12,12,12,0,0,12,0,415380,131100,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3HF,10,N,16,16,16,0,0,16,0,415188,131091,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3HG,10,N,16,16,16,0,0,16,0,415067,131104,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3HH,10,N,24,24,24,0,0,24,0,415480,131192,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3HJ,10,N,8,8,8,0,0,8,0,415464,131242,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3HL,10,N,4,4,4,0,0,4,0,415523,131327,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3HN,10,N,1,1,1,0,0,1,0,416029,132050,E92000001,E19000002,E18000010,,E06000054,E05008391,S
SP1 3HP,10,N,11,11,1,10,0,11,0,415835,131838,E92000001,E19000002,E18000010,,E06000054,E05008391,S
